resources_count,followers_count,honor_score,views_count,likes_count,favorites_count,comments_count,duration,title,embed_url
58,306,1239,25799,128,46,9,03:13,Iceland - Across the Wilderness ,https://www.djivideos.com/video_play/843c1e37-a883-4b49-9955-5e6dee463a79
1,35,65,1999,61,27,4,05:53,Trip To Indonesia.mp4,https://www.djivideos.com/video_play/dbf6804b-89a1-45f5-b5a2-e50f221b254c
1,70,64,20185,45,16,4,02:12,Skypixel Video Contest - Nick Gregory (New Zealand),https://www.djivideos.com/video_play/90e3c569-11b4-455e-bd25-c3bd676e9a2a
11,28,89,10085,30,22,1,04:17,一路向南- 新西兰南岛追星,https://www.djivideos.com/video_play/1b76e9da-d4c4-43c7-9665-2d15ffc9b4c9
65,235,479,19962,51,18,1,02:12,Yeats Landscapes.mp4,https://www.djivideos.com/video_play/bfced78f-6cf6-4be4-b2cb-2ca8e910f0ec
81,177,852,33977,117,33,27,02:05,轿子雪山,https://www.djivideos.com/video_play/1b421bd2-f2ce-4c55-9578-a7ffaf69fbbf
15,182,367,73368,163,33,22,02:14,SpaceNet Brasil - Highline and Base Jump,https://www.djivideos.com/video_play/92bbbe9a-2f16-4ffd-ab79-d39207c67160
16,222,266,81112,2000,37,65,04:59,云和山的彼端之御见武功山,https://www.djivideos.com/video_play/e0ae351f-5218-4c1b-84ec-2b04ce1f4476
27,205,403,29925,118,39,14,04:51,鸟瞰澳大利亚 Aerial Australia,https://www.djivideos.com/video_play/9af522f1-beac-442b-8ed1-ca7d7b23b114
153,1151,3491,2551,47,14,6,02:52,Winter in Bavaria,https://www.djivideos.com/video_play/6e180d3a-cea4-4426-90b7-32a4336f658b
